n,Expected_n/2,Expected_sqrt(n)
442,3.004,49.874
443,2.894,52.484
444,2.96,50.436
445,2.968,50.623
446,2.825,52.658
447,2.869,51.288
448,2.714,50.883
449,3.047,52.032
450,2.937,51.589
451,2.918,51.372
452,2.878,52.899
453,2.966,52.189
454,3.069,51.219
455,2.847,53.854
456,3.068,52.236
457,3.151,53.253
458,2.812,51.923
459,2.925,53.335
460,3.013,53.912
461,3.099,54.11
462,3.008,55.425
463,2.921,54.483
464,2.817,54.017
465,3.023,54.562
466,2.96,53.983
467,3.042,54.566
468,3.124,55.475
469,2.763,54.209
470,3.045,52.44
471,2.952,56.318
472,2.862,53.013
473,2.886,54.636
474,2.939,54.59
475,3.063,53.562
476,2.84,54.256
477,2.824,54.317
478,2.985,55.977
479,2.887,53.795
480,2.914,56.028
481,2.951,57.199
482,2.925,55.571
483,3.152,54.301
484,3.039,55.308
485,3.01,53.563
486,3.081,54.111
487,2.88,54.47
488,2.945,53.638
489,2.936,53.961
490,2.951,55.229
491,3.038,55.091
492,2.957,54.526
493,3.06,54.619
494,2.923,53.301
495,2.875,54.113
496,3.07,55.284
497,2.821,53.999
498,2.917,54.261
499,2.882,54.658
500,2.91,56.461
501,2.827,53.745
502,3.017,56.558
503,2.896,55.671
504,2.821,55.405
505,2.92,57.283
506,2.997,55.176
507,2.941,55.274
508,2.886,56.468
509,2.888,56.291
510,2.869,56.16
511,2.99,55.837
512,2.861,57.539
513,2.798,57.971
514,2.868,55.347
515,2.799,56.15
516,3.069,57.8
517,2.979,56.851
518,2.973,58.99
519,2.92,58.557
520,3.064,58.279
521,3.043,59.517
522,3.048,57.578
523,2.883,56.353
524,3.068,57.859
525,2.782,56.084
526,2.983,57.947
527,2.953,57.25
528,3.053,58.612
529,2.94,55.218
530,2.809,56.949
531,2.918,55.977
532,2.85,55.562
533,2.965,55.404
534,2.983,56.318
535,3.082,57.07
536,2.971,57.047
537,2.818,57.4
538,3.037,57.914
539,2.939,56.829
540,2.977,58.537
541,2.9,57.159
542,2.804,58.674
543,2.977,57.322
544,2.788,58.069
545,2.86,59.651
546,3.005,57.794
547,3.012,58.877
548,2.991,56.281
549,3.056,57.843
550,2.98,59.294
551,3.034,58.417
552,2.971,59.988
553,2.86,58.345
554,2.959,59.653
555,2.837,59.821
556,2.977,56.76
557,2.951,56.714
558,2.851,60.346
559,2.923,57.471
560,2.989,61.984
561,2.956,59.629
562,3.013,61.094
563,2.864,58.598
564,2.853,60.943
565,2.977,60.239
566,2.893,61.197
567,3.059,59.875
568,3.024,62.65
569,2.931,59.362
570,2.978,59.358
571,3.012,59.206
572,3.051,63.641
573,2.938,59.396
574,3.004,60.117
575,3.056,61.573
576,2.929,60.165
577,2.983,57.491
578,3.015,60.211
579,2.888,57.773
580,2.988,56.857
581,2.974,59.717
582,2.843,58.061
583,2.956,57.308
584,2.835,58.594
585,2.886,62.026
586,2.953,60.327
587,2.896,59.195
588,3.05,58.028
589,2.938,57.18
590,2.964,58.012
591,2.864,61.172
592,2.817,59.383
593,3.017,60.957
594,2.92,61.863
595,3.097,60.589
596,2.885,59.367
597,2.873,62.01
598,3.087,62.449
599,2.976,60.352
600,2.79,61.124
601,2.882,60.436
602,2.941,60.543
603,2.85,61.256
604,2.996,62.243
605,2.963,61.17
606,2.785,61.071
607,3.1,61.63
608,3.018,60.994
609,2.99,61.391
610,3.015,63.423
611,2.798,65.175
612,2.87,61.538
613,3.095,63.535
614,2.926,61.119
615,3.063,63.433
616,2.855,64.155
617,2.844,62.546
618,2.974,61.224
619,2.94,62.112
620,2.924,62.062
621,3.065,64.632
622,3.095,64.757
623,2.934,66.503
624,2.965,62.611
625,3.01,60.593
626,3.013,58.768
627,2.928,60.238
628,2.928,61.23
629,3.04,62.755
630,2.709,63.166
631,2.955,63.254
632,2.884,61.304
633,3.101,61.065
634,3.029,58.853
635,2.976,62.699
636,2.98,62.022
637,2.966,61.207
638,2.837,63.486
639,2.929,63.646
640,2.881,62.536
641,3.093,63.325
642,3.094,61.138
643,2.994,62.934
644,2.914,66.66
645,3.036,63.919
646,2.851,63.181
647,2.895,64.247
648,2.951,65.589
